Name,fracsize,Delta
../instances/64_2/ad_grb_00031.log.npz,340,32
../instances/64_2/ad_grb_00032.log.npz,340,16
../instances/64_2/ad_grb_00033.log.npz,972,256
../instances/64_2/ad_grb_00034.log.npz,972,128
../instances/64_2/ad_grb_00035.log.npz,972,64
../instances/64_2/ad_grb_00036.log.npz,972,32
../instances/64_2/ad_grb_00037.log.npz,345,256
../instances/64_2/ad_grb_00038.log.npz,345,128
../instances/64_2/ad_grb_00039.log.npz,345,64
../instances/64_2/ad_grb_00040.log.npz,345,32
../instances/64_2/ad_grb_00041.log.npz,345,16
../instances/64_2/ad_grb_00042.log.npz,333,256
../instances/64_2/ad_grb_00043.log.npz,333,128
../instances/64_2/ad_grb_00044.log.npz,333,64
../instances/64_2/ad_grb_00045.log.npz,333,32
../instances/64_2/ad_grb_00046.log.npz,333,16
../instances/64_2/ad_grb_00047.log.npz,333,8
../instances/64_2/ad_grb_00048.log.npz,339,256
../instances/64_2/ad_grb_00049.log.npz,339,128
../instances/64_2/ad_grb_00050.log.npz,339,64
../instances/64_2/ad_grb_00051.log.npz,339,32
../instances/64_2/ad_grb_00052.log.npz,339,16
../instances/64_3/ad_grb_00000.log.npz,1461,256
../instances/64_3/ad_grb_00001.log.npz,1469,256
../instances/64_3/ad_grb_00002.log.npz,2092,256
../instances/64_3/ad_grb_00003.log.npz,768,256
../instances/64_3/ad_grb_00004.log.npz,2031,256
../instances/64_3/ad_grb_00005.log.npz,2185,256
../instances/64_3/ad_grb_00006.log.npz,2526,256
../instances/64_3/ad_grb_00007.log.npz,2209,256
../instances/64_3/ad_grb_00008.log.npz,2842,256
../instances/64_3/ad_grb_00009.log.npz,2842,128
../instances/64_3/ad_grb_00010.log.npz,2842,64
../instances/64_3/ad_grb_00011.log.npz,2875,256
../instances/64_3/ad_grb_00012.log.npz,2875,128
../instances/64_3/ad_grb_00013.log.npz,2875,64
../instances/64_3/ad_grb_00014.log.npz,2912,256
../instances/64_3/ad_grb_00015.log.npz,2912,128
../instances/64_3/ad_grb_00016.log.npz,2912,64
../instances/64_3/ad_grb_00017.log.npz,2912,32
../instances/64_3/ad_grb_00018.log.npz,2912,16
../instances/64_4/ad_grb_00000.log.npz,1800,256
